# This file is generated by gfold V1.1.2 on Tue Jun 27 21:17:47 2017
# Normalization constants :
#    RWPE1	42835828	1
#    dummy	42835828	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0	0	0
AASDH	AASDH	0	1	0	8.24185	8.24185
AASDHPPT	AASDHPPT	0	1	0	23.0186	23.0186
AASS	AASS	0	1	0	0.0477158	0.0477158
AATF	AATF	0	1	0	20.5972	20.5972
AATK	AATK	0	1	0	0.11764	0.11764
AATK-AS1	AATK-AS1	0	1	0	0	0
ABAT	ABAT	0	1	0	1.09442	1.09442
ABCA1	ABCA1	0	1	0	25.7701	25.7701
ABCA10	ABCA10	0	1	0	0.136434	0.136434
ABCA11P	ABCA11P	0	1	0	4.68131	4.68131
ABCA12	ABCA12	0	1	0	0.2915	0.2915
ABCA13	ABCA13	0	1	0	0.0149438	0.0149438
ABCA17P	ABCA17P	0	1	0	0.0390197	0.0390197
ABCA2	ABCA2	0	1	0	5.05714	5.05714
ABCA3	ABCA3	0	1	0	0.486426	0.486426
ABCA4	ABCA4	0	1	0	0.00637405	0.00637405
ABCA5	ABCA5	0	1	0	2.35689	2.35689
ABCA6	ABCA6	0	1	0	0.119017	0.119017
ABCA7	ABCA7	0	1	0	3.50277	3.50277
ABCA8	ABCA8	0	1	0	0.0233294	0.0233294
ABCA9	ABCA9	0	1	0	0.0296397	0.0296397
ABCB1	ABCB1	0	1	0	0.00495016	0.00495016
ABCB10	ABCB10	0	1	0	6.59735	6.59735
ABCB11	ABCB11	0	1	0	0	0
ABCB4	ABCB4	0	1	0	0.0351228	0.0351228
ABCB5	ABCB5	0	1	0	0	0
ABCB6	ABCB6	0	1	0	11.3167	11.3167
ABCB7	ABCB7	0	1	0	7.55386	7.55386
ABCB8	ABCB8	0	1	0	3.07157	3.07157
ABCB9	ABCB9	0	1	0	1.27206	1.27206
ABCC1	ABCC1	0	1	0	8.51559	8.51559
ABCC10	ABCC10	0	1	0	2.52932	2.52932
ABCC11	ABCC11	0	1	0	0.019026	0.019026
ABCC12	ABCC12	0	1	0	0	0
ABCC13	ABCC13	0	1	0	0	0
ABCC2	ABCC2	0	1	0	0.295777	0.295777
ABCC3	ABCC3	0	1	0	10.7668	10.7668
ABCC4	ABCC4	0	1	0	3.40167	3.40167
ABCC5	ABCC5	0	1	0	2.87678	2.87678
ABCC5-AS1	ABCC5-AS1	0	1	0	0.099552	0.099552
ABCC6	ABCC6	0	1	0	0.234328	0.234328
ABCC6P1	ABCC6P1	0	1	0	0.111411	0.111411
ABCC6P2	ABCC6P2	0	1	0	1.22346	1.22346
ABCC8	ABCC8	0	1	0	0	0
ABCC9	ABCC9	0	1	0	0.0193116	0.0193116
ABCD1	ABCD1	0	1	0	0.75183	0.75183
ABCD2	ABCD2	0	1	0	0	0
ABCD3	ABCD3	0	1	0	14.35	14.35
ABCD4	ABCD4	0	1	0	5.6717	5.6717
ABCE1	ABCE1	0	1	0	39.0864	39.0864
ABCF1	ABCF1	0	1	0	18.0209	18.0209
ABCF2	ABCF2	0	1	0	14.4384	14.4384
ABCF3	ABCF3	0	1	0	12.4077	12.4077
ABCG1	ABCG1	0	1	0	14.674	14.674
ABCG2	ABCG2	0	1	0	0.799417	0.799417
ABCG4	ABCG4	0	1	0	0.0237306	0.0237306
ABCG5	ABCG5	0	1	0	0	0
ABCG8	ABCG8	0	1	0	0.0350393	0.0350393
ABHD1	ABHD1	0	1	0	1.33999	1.33999
ABHD10	ABHD10	0	1	0	11.8472	11.8472
ABHD11	ABHD11	0	1	0	2.73895	2.73895
ABHD12	ABHD12	0	1	0	13.12	13.12
ABHD12B	ABHD12B	0	1	0	0.601392	0.601392
ABHD13	ABHD13	0	1	0	4.45588	4.45588
ABHD14A	ABHD14A	0	1	0	3.39218	3.39218
ABHD14A-ACY1	ABHD14A-ACY1	0	1	0	20.4377	20.4377
ABHD14B	ABHD14B	0	1	0	20.7106	20.7106
ABHD15	ABHD15	0	1	0	3.52088	3.52088
ABHD16A	ABHD16A	0	1	0	11.5454	11.5454
ABHD16B	ABHD16B	0	1	0	1.24874	1.24874
ABHD17A	ABHD17A	0	1	0	16.9237	16.9237
ABHD17B	ABHD17B	0	1	0	4.79789	4.79789
ABHD17C	ABHD17C	0	1	0	13.1563	13.1563
ABHD2	ABHD2	0	1	0	18.7644	18.7644
ABHD3	ABHD3	0	1	0	7.54413	7.54413
ABHD4	ABHD4	0	1	0	8.37403	8.37403
ABHD5	ABHD5	0	1	0	5.35543	5.35543
ABHD6	ABHD6	0	1	0	7.74588	7.74588
ABHD8	ABHD8	0	1	0	2.69193	2.69193
ABI1	ABI1	0	1	0	15.4994	15.4994
ABI2	ABI2	0	1	0	6.02244	6.02244
ABI3	ABI3	0	1	0	0	0
ABI3BP	ABI3BP	0	1	0	0.156572	0.156572
ABL1	ABL1	0	1	0	23.0983	23.0983
ABL2	ABL2	0	1	0	6.88223	6.88223
ABLIM1	ABLIM1	0	1	0	25.6898	25.6898
ABLIM2	ABLIM2	0	1	0	0.390614	0.390614
ABLIM3	ABLIM3	0	1	0	2.00869	2.00869
ABO	ABO	0	1	0	0	0
ABR	ABR	0	1	0	6.61838	6.61838
ABRA	ABRA	0	1	0	0.0678139	0.0678139
ABRACL	ABRACL	0	1	0	13.7859	13.7859
ABT1	ABT1	0	1	0	11.4919	11.4919
ABTB1	ABTB1	0	1	0	1.62791	1.62791
ABTB2	ABTB2	0	1	0	1.93787	1.93787
AC093375.1	AC093375.1	0	1	0	1.24784	1.24784
ACAA1	ACAA1	0	1	0	6.80258	6.80258
ACAA2	ACAA2	0	1	0	3.3919	3.3919
ACACA	ACACA	0	1	0	10.9094	10.9094
ACACB	ACACB	0	1	0	1.36046	1.36046
ACAD10	ACAD10	0	1	0	4.91113	4.91113
ACAD11	ACAD11	0	1	0	10.1691	10.1691
ACAD8	ACAD8	0	1	0	7.61548	7.61548
ACAD9	ACAD9	0	1	0	7.34038	7.34038
ACADL	ACADL	0	1	0	0	0
ACADM	ACADM	0	1	0	13.1203	13.1203
ACADS	ACADS	0	1	0	2.75219	2.75219
ACADSB	ACADSB	0	1	0	0.781963	0.781963
ACADVL	ACADVL	0	1	0	104.807	104.807
ACAN	ACAN	0	1	0	0.0211266	0.0211266
ACAP1	ACAP1	0	1	0	0.642265	0.642265
ACAP2	ACAP2	0	1	0	20.0011	20.0011
ACAP3	ACAP3	0	1	0	6.41536	6.41536
ACAT1	ACAT1	0	1	0	13.3025	13.3025
ACAT2	ACAT2	0	1	0	29.8472	29.8472
ACBD3	ACBD3	0	1	0	18.0015	18.0015
ACBD4	ACBD4	0	1	0	2.08376	2.08376
ACBD5	ACBD5	0	1	0	8.02122	8.02122
ACBD6	ACBD6	0	1	0	24.1395	24.1395
ACBD7	ACBD7	0	1	0	0.671946	0.671946
ACCS	ACCS	0	1	0	1.21071	1.21071
ACCSL	ACCSL	0	1	0	0	0
ACD	ACD	0	1	0	9.96623	9.96623
ACE	ACE	0	1	0	0.0223653	0.0223653
ACE2	ACE2	0	1	0	0.0865367	0.0865367
ACER1	ACER1	0	1	0	0	0
ACER2	ACER2	0	1	0	1.42427	1.42427
ACER3	ACER3	0	1	0	4.78925	4.78925
ACHE	ACHE	0	1	0	0.0310438	0.0310438
ACIN1	ACIN1	0	1	0	23.4448	23.4448
ACKR1	ACKR1	0	1	0	0	0
ACKR2	ACKR2	0	1	0	0.0552076	0.0552076
ACKR3	ACKR3	0	1	0	0.778165	0.778165
ACKR4	ACKR4	0	1	0	0.225163	0.225163
ACLY	ACLY	0	1	0	23.1358	23.1358
ACMSD	ACMSD	0	1	0	0.0373519	0.0373519
ACN9	ACN9	0	1	0	8.47772	8.47772
ACO1	ACO1	0	1	0	14.0973	14.0973
ACO2	ACO2	0	1	0	30.6525	30.6525
ACOT1	ACOT1	0	1	0	8.53408	8.53408
ACOT11	ACOT11	0	1	0	1.39753	1.39753
ACOT12	ACOT12	0	1	0	0	0
ACOT13	ACOT13	0	1	0	7.78519	7.78519
ACOT2	ACOT2	0	1	0	8.70973	8.70973
ACOT4	ACOT4	0	1	0	2.80368	2.80368
ACOT6	ACOT6	0	1	0	0	0
ACOT7	ACOT7	0	1	0	10.5731	10.5731
ACOT8	ACOT8	0	1	0	17.2645	17.2645
ACOT9	ACOT9	0	1	0	18.6138	18.6138
ACOX1	ACOX1	0	1	0	6.99258	6.99258
ACOX2	ACOX2	0	1	0	0.0101104	0.0101104
ACOX3	ACOX3	0	1	0	4.0614	4.0614
ACOXL	ACOXL	0	1	0	0	0
ACP1	ACP1	0	1	0	40.5994	40.5994
ACP2	ACP2	0	1	0	7.95667	7.95667
ACP5	ACP5	0	1	0	0.490115	0.490115
ACP6	ACP6	0	1	0	5.72003	5.72003
ACPP	ACPP	0	1	0	0.146747	0.146747
ACPT	ACPT	0	1	0	2.16638	2.16638
ACR	ACR	0	1	0	0	0
ACRBP	ACRBP	0	1	0	0.433231	0.433231
ACRC	ACRC	0	1	0	1.41774	1.41774
ACRV1	ACRV1	0	1	0	0.317889	0.317889
ACSBG1	ACSBG1	0	1	0	0.164511	0.164511
ACSBG2	ACSBG2	0	1	0	0.125555	0.125555
ACSF2	ACSF2	0	1	0	6.44297	6.44297
ACSF3	ACSF3	0	1	0	3.94517	3.94517
ACSL1	ACSL1	0	1	0	8.06712	8.06712
ACSL3	ACSL3	0	1	0	81.6832	81.6832
ACSL4	ACSL4	0	1	0	30.6657	30.6657
ACSL5	ACSL5	0	1	0	0.212	0.212
ACSL6	ACSL6	0	1	0	0.0270079	0.0270079
ACSM1	ACSM1	0	1	0	0.0796756	0.0796756
ACSM2A	ACSM2A	0	1	0	0	0
ACSM2B	ACSM2B	0	1	0	0	0
ACSM3	ACSM3	0	1	0	1.29411	1.29411
ACSM4	ACSM4	0	1	0	0.0401806	0.0401806
ACSM5	ACSM5	0	1	0	0	0
ACSS1	ACSS1	0	1	0	0.679442	0.679442
ACSS2	ACSS2	0	1	0	15.4414	15.4414
ACSS3	ACSS3	0	1	0	0	0
ACTA1	ACTA1	0	1	0	0.0156467	0.0156467
ACTA2	ACTA2	0	1	0	0.996354	0.996354
ACTB	ACTB	0	1	0	782.764	782.764
ACTBL2	ACTBL2	0	1	0	0.0919092	0.0919092
ACTC1	ACTC1	0	1	0	0	0
ACTG1	ACTG1	0	1	0	448.866	448.866
ACTG1P4	ACTG1P4	0	1	0	0.188361	0.188361
ACTG2	ACTG2	0	1	0	0	0
ACTL10	ACTL10	0	1	0	0.736724	0.736724
ACTL6A	ACTL6A	0	1	0	33.9028	33.9028
ACTL6B	ACTL6B	0	1	0	0	0
ACTL7A	ACTL7A	0	1	0	0.152781	0.152781
ACTL7B	ACTL7B	0	1	0	0.08296	0.08296
ACTL8	ACTL8	0	1	0	0	0
ACTL9	ACTL9	0	1	0	0	0
ACTN1	ACTN1	0	1	0	57.6881	57.6881
ACTN1-AS1	ACTN1-AS1	0	1	0	0.194866	0.194866
ACTN2	ACTN2	0	1	0	0.00456848	0.00456848
ACTN3	ACTN3	0	1	0	0.0140168	0.0140168
ACTN4	ACTN4	0	1	0	102.513	102.513
ACTR10	ACTR10	0	1	0	12.9588	12.9588
ACTR1A	ACTR1A	0	1	0	25.677	25.677
ACTR1B	ACTR1B	0	1	0	24.6166	24.6166
ACTR2	ACTR2	0	1	0	34.7654	34.7654
ACTR3	ACTR3	0	1	0	27.9854	27.9854
ACTR3B	ACTR3B	0	1	0	3.338	3.338
ACTR3BP2	ACTR3BP2	0	1	0	0	0
ACTR3BP5	ACTR3BP5	0	1	0	0	0
ACTR3C	ACTR3C	0	1	0	4.14291	4.14291
ACTR5	ACTR5	0	1	0	8.13636	8.13636
ACTR6	ACTR6	0	1	0	5.12537	5.12537
ACTR8	ACTR8	0	1	0	4.40774	4.40774
ACTRT1	ACTRT1	0	1	0	0	0
ACTRT2	ACTRT2	0	1	0	0	0
ACTRT3	ACTRT3	0	1	0	0.745919	0.745919
ACVR1	ACVR1	0	1	0	5.2136	5.2136
ACVR1B	ACVR1B	0	1	0	5.68204	5.68204
ACVR1C	ACVR1C	0	1	0	0.064297	0.064297
ACVR2A	ACVR2A	0	1	0	2.25172	2.25172
ACVR2B	ACVR2B	0	1	0	1.43892	1.43892
ACVR2B-AS1	ACVR2B-AS1	0	1	0	0.556494	0.556494
ACVRL1	ACVRL1	0	1	0	0	0
ACY1	ACY1	0	1	0	23.3867	23.3867
ACY3	ACY3	0	1	0	0	0
ACYP1	ACYP1	0	1	0	5.71713	5.71713
ACYP2	ACYP2	0	1	0	2.90379	2.90379
ADA	ADA	0	1	0	3.00193	3.00193
ADAD1	ADAD1	0	1	0	0	0
ADAD2	ADAD2	0	1	0	0.0202647	0.0202647
ADAL	ADAL	0	1	0	4.89384	4.89384
ADAM10	ADAM10	0	1	0	39.6688	39.6688
ADAM11	ADAM11	0	1	0	0.254556	0.254556
ADAM12	ADAM12	0	1	0	0.0261217	0.0261217
ADAM15	ADAM15	0	1	0	44.4058	44.4058
ADAM17	ADAM17	0	1	0	21.1767	21.1767
ADAM18	ADAM18	0	1	0	0	0
ADAM19	ADAM19	0	1	0	0.915348	0.915348
ADAM1A	ADAM1A	0	1	0	0.945306	0.945306
ADAM2	ADAM2	0	1	0	0	0
ADAM20	ADAM20	0	1	0	0.326093	0.326093
ADAM20P1	ADAM20P1	0	1	0	0.330643	0.330643
ADAM21	ADAM21	0	1	0	0.113921	0.113921
ADAM21P1	ADAM21P1	0	1	0	0.0113933	0.0113933
ADAM22	ADAM22	0	1	0	0.127648	0.127648
ADAM23	ADAM23	0	1	0	0.018751	0.018751
ADAM28	ADAM28	0	1	0	0.0126944	0.0126944
ADAM29	ADAM29	0	1	0	0	0
ADAM30	ADAM30	0	1	0	0	0
ADAM32	ADAM32	0	1	0	1.16425	1.16425
ADAM33	ADAM33	0	1	0	0.0327971	0.0327971
ADAM3A	ADAM3A	0	1	0	0	0
ADAM5	ADAM5	0	1	0	0.013692	0.013692
ADAM6	ADAM6	0	1	0	0	0
ADAM7	ADAM7	0	1	0	0	0
ADAM8	ADAM8	0	1	0	3.5714	3.5714
ADAM9	ADAM9	0	1	0	62.2019	62.2019
ADAMDEC1	ADAMDEC1	0	1	0	0	0
ADAMTS1	ADAMTS1	0	1	0	1.08418	1.08418
ADAMTS10	ADAMTS10	0	1	0	0.00534944	0.00534944
ADAMTS12	ADAMTS12	0	1	0	0	0
ADAMTS13	ADAMTS13	0	1	0	0.830417	0.830417
ADAMTS14	ADAMTS14	0	1	0	0.0753492	0.0753492
ADAMTS15	ADAMTS15	0	1	0	2.25388	2.25388
ADAMTS16	ADAMTS16	0	1	0	0.0281604	0.0281604
ADAMTS17	ADAMTS17	0	1	0	0.789104	0.789104
ADAMTS18	ADAMTS18	0	1	0	0	0
ADAMTS19	ADAMTS19	0	1	0	0	0
ADAMTS2	ADAMTS2	0	1	0	0	0
ADAMTS20	ADAMTS20	0	1	0	0	0
ADAMTS3	ADAMTS3	0	1	0	0.0842054	0.0842054
ADAMTS4	ADAMTS4	0	1	0	0	0
ADAMTS5	ADAMTS5	0	1	0	0.00483182	0.00483182
ADAMTS6	ADAMTS6	0	1	0	0.645616	0.645616
ADAMTS7	ADAMTS7	0	1	0	1.29269	1.29269
ADAMTS7P1	ADAMTS7P1	0	1	0	0.138205	0.138205
ADAMTS8	ADAMTS8	0	1	0	0.0127464	0.0127464
ADAMTS9	ADAMTS9	0	1	0	0.0255415	0.0255415
ADAMTS9-AS2	ADAMTS9-AS2	0	1	0	0.020956	0.020956
ADAMTSL1	ADAMTSL1	0	1	0	0	0
ADAMTSL2	ADAMTSL2	0	1	0	0.0225937	0.0225937
ADAMTSL3	ADAMTSL3	0	1	0	0.693824	0.693824
ADAMTSL4	ADAMTSL4	0	1	0	1.0189	1.0189
ADAMTSL4-AS1	ADAMTSL4-AS1	0	1	0	2.0731	2.0731
ADAMTSL5	ADAMTSL5	0	1	0	0.408557	0.408557
ADAP1	ADAP1	0	1	0	7.43288	7.43288
ADAP2	ADAP2	0	1	0	0.0934137	0.0934137
ADAR	ADAR	0	1	0	41.0281	41.0281
ADARB1	ADARB1	0	1	0	1.30366	1.30366
ADARB2	ADARB2	0	1	0	0.0193941	0.0193941
ADARB2-AS1	ADARB2-AS1	0	1	0	0	0
ADAT1	ADAT1	0	1	0	7.25034	7.25034
ADAT2	ADAT2	0	1	0	2.22451	2.22451
ADAT3	ADAT3	0	1	0	0.402004	0.402004
ADC	ADC	0	1	0	0.909404	0.909404
ADCK1	ADCK1	0	1	0	1.72422	1.72422
ADCK2	ADCK2	0	1	0	11.0207	11.0207
ADCK3	ADCK3	0	1	0	6.0997	6.0997
ADCK4	ADCK4	0	1	0	8.97523	8.97523
ADCK5	ADCK5	0	1	0	1.76144	1.76144
ADCY1	ADCY1	0	1	0	0.258165	0.258165
ADCY10	ADCY10	0	1	0	0.0301447	0.0301447
ADCY10P1	ADCY10P1	0	1	0	0.776632	0.776632
ADCY2	ADCY2	0	1	0	0	0
ADCY3	ADCY3	0	1	0	14.3224	14.3224
ADCY4	ADCY4	0	1	0	0.012551	0.012551
ADCY5	ADCY5	0	1	0	0.0335791	0.0335791
ADCY6	ADCY6	0	1	0	5.594	5.594
ADCY7	ADCY7	0	1	0	5.15795	5.15795
ADCY8	ADCY8	0	1	0	0	0
ADCY9	ADCY9	0	1	0	5.04241	5.04241
ADCYAP1	ADCYAP1	0	1	0	0	0
ADCYAP1R1	ADCYAP1R1	0	1	0	0.00355056	0.00355056
ADD1	ADD1	0	1	0	19.8644	19.8644
ADD2	ADD2	0	1	0	0.333892	0.333892
ADD3	ADD3	0	1	0	8.74679	8.74679
ADD3-AS1	ADD3-AS1	0	1	0	0.857197	0.857197
ADGB	ADGB	0	1	0	0.00441387	0.00441387
ADH1A	ADH1A	0	1	0	0.0933798	0.0933798
ADH1B	ADH1B	0	1	0	0	0
ADH1C	ADH1C	0	1	0	0.0265585	0.0265585
ADH4	ADH4	0	1	0	0.0117963	0.0117963
ADH5	ADH5	0	1	0	49.1556	49.1556
ADH6	ADH6	0	1	0	0.217451	0.217451
ADH7	ADH7	0	1	0	0.0584354	0.0584354
ADHFE1	ADHFE1	0	1	0	0.714515	0.714515
ADI1	ADI1	0	1	0	21.6456	21.6456
ADIG	ADIG	0	1	0	0.0909543	0.0909543
ADIPOQ	ADIPOQ	0	1	0	0	0
ADIPOQ-AS1	ADIPOQ-AS1	0	1	0	0	0
ADIPOR1	ADIPOR1	0	1	0	42.7782	42.7782
ADIPOR2	ADIPOR2	0	1	0	26.0886	26.0886
ADIRF	ADIRF	0	1	0	24.144	24.144
ADK	ADK	0	1	0	19.6408	19.6408
ADM	ADM	0	1	0	10.6978	10.6978
ADM2	ADM2	0	1	0	2.27276	2.27276
ADM5	ADM5	0	1	0	3.6587	3.6587
ADNP	ADNP	0	1	0	21.3103	21.3103
ADNP2	ADNP2	0	1	0	14.2704	14.2704
ADO	ADO	0	1	0	11.171	11.171
ADORA1	ADORA1	0	1	0	0.207937	0.207937
ADORA2A	ADORA2A	0	1	0	0.307897	0.307897
ADORA2A-AS1	ADORA2A-AS1	0	1	0	0.0682782	0.0682782
ADORA2B	ADORA2B	0	1	0	18.5397	18.5397
ADORA3	ADORA3	0	1	0	0	0
ADPGK	ADPGK	0	1	0	19.6266	19.6266
ADPGK-AS1	ADPGK-AS1	0	1	0	0.282192	0.282192
ADPRH	ADPRH	0	1	0	0.545265	0.545265
ADPRHL1	ADPRHL1	0	1	0	0.664548	0.664548
ADPRHL2	ADPRHL2	0	1	0	14.689	14.689
ADPRM	ADPRM	0	1	0	6.53597	6.53597
ADRA1A	ADRA1A	0	1	0	0	0
ADRA1B	ADRA1B	0	1	0	0.0724998	0.0724998
ADRA1D	ADRA1D	0	1	0	0.0700523	0.0700523
ADRA2A	ADRA2A	0	1	0	0.0120552	0.0120552
ADRA2B	ADRA2B	0	1	0	0.131932	0.131932
ADRA2C	ADRA2C	0	1	0	0.0596143	0.0596143
ADRB1	ADRB1	0	1	0	0.579137	0.579137
ADRB2	ADRB2	0	1	0	22.0417	22.0417
ADRB3	ADRB3	0	1	0	0	0
ADRBK1	ADRBK1	0	1	0	14.9058	14.9058
ADRBK2	ADRBK2	0	1	0	1.54688	1.54688
ADRM1	ADRM1	0	1	0	54.1666	54.1666
ADSL	ADSL	0	1	0	29.7226	29.7226
ADSS	ADSS	0	1	0	16.0948	16.0948
ADSSL1	ADSSL1	0	1	0	2.47155	2.47155
ADTRP	ADTRP	0	1	0	4.46042	4.46042
AEBP1	AEBP1	0	1	0	0.0628474	0.0628474
AEBP2	AEBP2	0	1	0	4.51462	4.51462
AEN	AEN	0	1	0	15.0513	15.0513
AES	AES	0	1	0	79.6828	79.6828
AFAP1	AFAP1	0	1	0	7.53828	7.53828
AFAP1-AS1	AFAP1-AS1	0	1	0	0.938059	0.938059
AFAP1L1	AFAP1L1	0	1	0	7.55995	7.55995
AFAP1L2	AFAP1L2	0	1	0	12.585	12.585
AFF1	AFF1	0	1	0	3.49128	3.49128
AFF2	AFF2	0	1	0	0	0
AFF3	AFF3	0	1	0	0	0
AFF4	AFF4	0	1	0	19.0488	19.0488
AFG3L1P	AFG3L1P	0	1	0	3.79811	3.79811
AFG3L2	AFG3L2	0	1	0	36.7743	36.7743
AFM	AFM	0	1	0	0	0
AFMID	AFMID	0	1	0	7.9978	7.9978
AFP	AFP	0	1	0	0	0
AFTPH	AFTPH	0	1	0	17.1732	17.1732
AGA	AGA	0	1	0	2.76541	2.76541
AGAP1	AGAP1	0	1	0	3.77889	3.77889
AGAP11	AGAP11	0	1	0	4.00305	4.00305
AGAP2	AGAP2	0	1	0	0.632706	0.632706
AGAP2-AS1	AGAP2-AS1	0	1	0	3.84254	3.84254
AGAP3	AGAP3	0	1	0	6.24928	6.24928
AGAP4	AGAP4	0	1	0	26.8813	26.8813
AGAP5	AGAP5	0	1	0	22.7002	22.7002
AGAP6	AGAP6	0	1	0	24.524	24.524
AGAP7	AGAP7	0	1	0	17.7848	17.7848
AGAP9	AGAP9	0	1	0	27.3548	27.3548
AGBL1	AGBL1	0	1	0	0	0
AGBL1-AS1	AGBL1-AS1	0	1	0	0.180768	0.180768
AGBL2	AGBL2	0	1	0	0.0519787	0.0519787
AGBL3	AGBL3	0	1	0	0.151977	0.151977
AGBL4	AGBL4	0	1	0	0	0
AGBL4-IT1	AGBL4-IT1	0	1	0	0	0
AGBL5	AGBL5	0	1	0	14.8956	14.8956
AGBL5-AS1	AGBL5-AS1	0	1	0	0.114717	0.114717
AGER	AGER	0	1	0	0	0
AGFG1	AGFG1	0	1	0	12.4286	12.4286
AGFG2	AGFG2	0	1	0	1.61585	1.61585
AGGF1	AGGF1	0	1	0	15.6651	15.6651
AGK	AGK	0	1	0	8.49197	8.49197
AGL	AGL	0	1	0	3.7303	3.7303
AGMAT	AGMAT	0	1	0	0.777178	0.777178
AGMO	AGMO	0	1	0	0	0
AGO1	AGO1	0	1	0	3.63692	3.63692
AGO2	AGO2	0	1	0	5.85625	5.85625
AGO3	AGO3	0	1	0	5.9179	5.9179
AGO4	AGO4	0	1	0	3.00905	3.00905
AGPAT1	AGPAT1	0	1	0	0	0
AGPAT2	AGPAT2	0	1	0	17.6746	17.6746
AGPAT3	AGPAT3	0	1	0	9.25462	9.25462
AGPAT4	AGPAT4	0	1	0	1.46073	1.46073
AGPAT4-IT1	AGPAT4-IT1	0	1	0	0.201793	0.201793
AGPAT5	AGPAT5	0	1	0	14.9824	14.9824
AGPAT6	AGPAT6	0	1	0	9.21219	9.21219
AGPAT9	AGPAT9	0	1	0	0.38349	0.38349
AGPS	AGPS	0	1	0	8.36946	8.36946
AGR2	AGR2	0	1	0	1.8524	1.8524
AGR3	AGR3	0	1	0	0	0
AGRN	AGRN	0	1	0	38.3984	38.3984
AGRP	AGRP	0	1	0	0.0916686	0.0916686
AGT	AGT	0	1	0	0.0180898	0.0180898
AGTPBP1	AGTPBP1	0	1	0	15.877	15.877
AGTR1	AGTR1	0	1	0	0	0
AGTR2	AGTR2	0	1	0	0	0
AGTRAP	AGTRAP	0	1	0	23.6185	23.6185
AGXT	AGXT	0	1	0	0	0
AGXT2	AGXT2	0	1	0	0	0
AHCTF1	AHCTF1	0	1	0	12.5366	12.5366
AHCTF1P1	AHCTF1P1	0	1	0	15.543	15.543
AHCY	AHCY	0	1	0	97.381	97.381
AHCYL1	AHCYL1	0	1	0	17.3113	17.3113
AHCYL2	AHCYL2	0	1	0	3.26862	3.26862
AHDC1	AHDC1	0	1	0	1.36922	1.36922
AHI1	AHI1	0	1	0	2.22446	2.22446
AHNAK	AHNAK	0	1	0	139.658	139.658
AHNAK2	AHNAK2	0	1	0	121.4	121.4
AHR	AHR	0	1	0	33.6142	33.6142
AHRR	AHRR	0	1	0	1.17137	1.17137
AHSA1	AHSA1	0	1	0	40.4701	40.4701
AHSA2	AHSA2	0	1	0	8.94209	8.94209
AHSG	AHSG	0	1	0	0.014841	0.014841
AHSP	AHSP	0	1	0	0.138409	0.138409
AICDA	AICDA	0	1	0	0	0
AIDA	AIDA	0	1	0	44.7251	44.7251
AIF1	AIF1	0	1	0	0	0
AIF1L	AIF1L	0	1	0	12.2104	12.2104
AIFM1	AIFM1	0	1	0	7.45632	7.45632
AIFM2	AIFM2	0	1	0	5.2149	5.2149
