# This file is generated by gfold V1.1.2 on Tue Jun 27 19:59:29 2017
# Normalization constants :
#    RWPE1	42835828	1
#    BPH1	41323878	1.01447
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	-0.0207234	0	0
AASDH	AASDH	-1.5462	1	-1.73008	8.24185	2.60825
AASDHPPT	AASDHPPT	0.800148	1	0.87817	23.0186	44.4989
AASS	AASS	6.19135	1	7.06511	0.0477158	7.27498
AATF	AATF	0.736962	1	0.832776	20.5972	38.5874
AATK	AATK	0	1	0.419849	0.11764	0.167108
AATK-AS1	AATK-AS1	0	1	1.97928	0	0.046035
ABAT	ABAT	1.06388	1	1.2981	1.09442	2.83615
ABCA1	ABCA1	-2.89315	1	-2.9846	25.7701	3.42179
ABCA10	ABCA10	0	1	0.538704	0.136434	0.210227
ABCA11P	ABCA11P	-0.818798	1	-1.11864	4.68131	2.26028
ABCA12	ABCA12	1.1254	1	1.47601	0.2915	0.857428
ABCA13	ABCA13	2.37728	1	3.39431	0.0149438	0.178846
ABCA17P	ABCA17P	0.0431757	1	1.62313	0.0390197	0.138677
ABCA2	ABCA2	-1.14155	1	-1.28567	5.05714	2.17965
ABCA3	ABCA3	0.800271	1	1.13646	0.486426	1.12902
ABCA4	ABCA4	0	1	0.716242	0.00637405	0.0132145
ABCA5	ABCA5	-0.708068	1	-0.889876	2.35689	1.33637
ABCA6	ABCA6	-1.9507	1	-4.82808	0.119017	0
ABCA7	ABCA7	0.0911428	1	0.233124	3.50277	4.33014
ABCA8	ABCA8	0	1	-1.24312	0.0233294	0.00806099
ABCA9	ABCA9	0	1	-0.605686	0.0296397	0.0192026
ABCB1	ABCB1	0	1	1.3012	0.00495016	0.0205251
ABCB10	ABCB10	0.437607	1	0.568201	6.59735	10.2895
ABCB11	ABCB11	0	1	1.97928	0	0.0152036
ABCB4	ABCB4	0	1	0.171922	0.0351228	0.0424758
ABCB5	ABCB5	0	1	-0.0207234	0	0
ABCB6	ABCB6	-1.29007	1	-1.45694	11.3167	4.32986
ABCB7	ABCB7	0.485502	1	0.634712	7.55386	12.3389
ABCB8	ABCB8	0.193846	1	0.371594	3.07157	4.18054
ABCB9	ABCB9	0.496201	1	0.780841	1.27206	2.30291
ABCC1	ABCC1	-0.0186378	1	-0.11725	8.51559	8.25564
ABCC10	ABCC10	0.566256	1	0.738932	2.52932	4.44211
ABCC11	ABCC11	0	1	0.464703	0.019026	0.0295832
ABCC12	ABCC12	0	1	-0.0207234	0	0
ABCC13	ABCC13	0	1	0.979277	0	0.00827602
ABCC2	ABCC2	-0.668157	1	-1.39512	0.295777	0.11553
ABCC3	ABCC3	-4.15134	1	-4.4613	10.7668	0.509599
ABCC4	ABCC4	0.934472	1	1.06823	3.40167	7.50512
ABCC5	ABCC5	0.495461	1	0.64006	2.87678	4.71642
ABCC5-AS1	ABCC5-AS1	0	1	0.979277	0.099552	0.257986
ABCC6	ABCC6	1.13029	1	1.62212	0.234328	0.767743
ABCC6P1	ABCC6P1	1.52757	1	2.45732	0.111411	0.684042
ABCC6P2	ABCC6P2	0.806137	1	1.41785	1.22346	3.49618
ABCC8	ABCC8	0	1	-0.0207234	0	0
ABCC9	ABCC9	0	1	0.149202	0.0193116	0.0228779
ABCD1	ABCD1	0.25854	1	0.646701	0.75183	1.24166
ABCD2	ABCD2	0	1	2.3012	0	0.0181233
ABCD3	ABCD3	0.898012	1	0.982671	14.35	29.8266
ABCD4	ABCD4	0.0533444	1	0.217681	5.6717	6.93702
ABCE1	ABCE1	0.0691168	1	0.124361	39.0864	44.8035
ABCF1	ABCF1	0.42599	1	0.510206	18.0209	26.9934
ABCF2	ABCF2	0.466026	1	0.544226	14.4384	22.1431
ABCF3	ABCF3	0.386167	1	0.503939	12.4077	18.5068
ABCG1	ABCG1	-0.993425	1	-1.11744	14.674	7.10869
ABCG2	ABCG2	1.30119	1	1.59614	0.799417	2.55209
ABCG4	ABCG4	0.38856	1	2.11678	0.0237306	0.129144
ABCG5	ABCG5	0	1	1.97928	0	0.0264953
ABCG8	ABCG8	0	1	-2.34265	0.0350393	0
ABHD1	ABHD1	0.558024	1	0.99635	1.33999	2.82825
ABHD10	ABHD10	0.814521	1	0.923543	11.8472	23.6385
ABHD11	ABHD11	1.85554	1	2.11577	2.73895	12.5335
ABHD12	ABHD12	0	1	-0.0239188	13.12	13.57
ABHD12B	ABHD12B	0	1	-0.0531449	0.601392	0.609228
ABHD13	ABHD13	0	1	0.131849	4.45588	5.13466
ABHD14A	ABHD14A	0.478733	1	0.804333	3.39218	6.24633
ABHD14A-ACY1	ABHD14A-ACY1	-0.360219	1	-0.487514	20.4377	15.3257
ABHD14B	ABHD14B	-1.18833	1	-1.32146	20.7106	8.70849
ABHD15	ABHD15	0.0102265	1	0.212603	3.52088	4.29164
ABHD16A	ABHD16A	0	1	-0.107893	11.5454	11.2656
ABHD16B	ABHD16B	0	1	-0.0057731	1.24874	1.30806
ABHD17A	ABHD17A	0.631373	1	0.750594	16.9237	29.9527
ABHD17B	ABHD17B	0.276078	1	0.445533	4.79789	6.87373
ABHD17C	ABHD17C	0	1	-0.0613964	13.1563	13.2582
ABHD2	ABHD2	-0.280705	1	-0.339364	18.7644	15.5957
ABHD3	ABHD3	0.080489	1	0.255568	7.54413	9.47328
ABHD4	ABHD4	-0.372243	1	-0.546088	8.37403	6.02807
ABHD5	ABHD5	0.0340618	1	0.165156	5.35543	6.31536
ABHD6	ABHD6	-1.46192	1	-1.70134	7.74588	2.49777
ABHD8	ABHD8	1.42371	1	1.66589	2.69193	9.00808
ABI1	ABI1	-0.732415	1	-0.843403	15.4994	9.08106
ABI2	ABI2	0.564787	1	0.665495	6.02244	10.0471
ABI3	ABI3	0	1	-0.0207234	0	0
ABI3BP	ABI3BP	0	1	0.0250802	0.156572	0.167711
ABL1	ABL1	-1.45028	1	-1.53554	23.0983	8.37614
ABL2	ABL2	-0.267011	1	-0.349436	6.88223	5.68006
ABLIM1	ABLIM1	-0.975758	1	-1.0366	25.6898	13.1677
ABLIM2	ABLIM2	0	1	0.294479	0.390614	0.504942
ABLIM3	ABLIM3	0.196401	1	0.423904	2.00869	2.83579
ABO	ABO	0	1	3.3012	0	0.13793
ABR	ABR	0.646657	1	0.743642	6.61838	11.656
ABRA	ABRA	0	1	-1.19065	0.0678139	0.0263607
ABRACL	ABRACL	0.733809	1	0.917374	13.7859	27.4065
ABT1	ABT1	0.153091	1	0.287946	11.4919	14.7568
ABTB1	ABTB1	0.0213616	1	0.391772	1.62791	2.24996
ABTB2	ABTB2	0	1	0.0381702	1.93787	2.09268
AC093375.1	AC093375.1	-3.84777	1	-6.62064	1.24784	0
ACAA1	ACAA1	0.607336	1	0.780935	6.80258	12.3005
ACAA2	ACAA2	-0.0721709	1	-0.372372	3.3919	2.75274
ACACA	ACACA	0.322597	1	0.383492	10.9094	14.966
ACACB	ACACB	0.450191	1	0.63378	1.36046	2.22132
ACAD10	ACAD10	0.818282	1	0.95743	4.91113	10.0343
ACAD11	ACAD11	-1.00813	1	-1.15934	10.1691	4.78401
ACAD8	ACAD8	0.666279	1	0.821465	7.61548	14.161
ACAD9	ACAD9	1.69155	1	1.81911	7.34038	27.2603
ACADL	ACADL	0	1	1.56424	0	0.019437
ACADM	ACADM	0.248492	1	0.362042	13.1203	17.7354
ACADS	ACADS	-0.400366	1	-0.759809	2.75219	1.70416
ACADSB	ACADSB	1.94472	1	2.19961	0.781963	3.79218
ACADVL	ACADVL	-0.503061	1	-0.552344	104.807	75.1526
ACAN	ACAN	-0.0290755	1	-3.19065	0.0211266	0
ACAP1	ACAP1	-0.145928	1	-0.792454	0.642265	0.38595
ACAP2	ACAP2	-0.0168085	1	-0.0779646	20.0011	19.9263
ACAP3	ACAP3	-0.247371	1	-0.405387	6.41536	5.09217
ACAT1	ACAT1	1.34169	1	1.45297	13.3025	38.3171
ACAT2	ACAT2	1.21843	1	1.30701	29.8472	77.6836
ACBD3	ACBD3	0.145966	1	0.232661	18.0015	22.2442
ACBD4	ACBD4	-0.128019	1	-0.453391	2.08376	1.59805
ACBD5	ACBD5	-1.06904	1	-1.2271	8.02122	3.6
ACBD6	ACBD6	0	1	-0.106946	24.1395	23.5701
ACBD7	ACBD7	1.33376	1	1.70886	0.671946	2.32656
ACCS	ACCS	1.07979	1	1.43202	1.21071	3.45395
ACCSL	ACCSL	0	1	-0.0207234	0	0
ACD	ACD	0.975123	1	1.11038	9.96623	22.6413
ACE	ACE	0.756566	1	2.34851	0.0223653	0.139102
ACE2	ACE2	1.33581	1	2.28045	0.0865367	0.469215
ACER1	ACER1	0	1	-0.0207234	0	0
ACER2	ACER2	0.441369	1	0.756884	1.42427	2.537
ACER3	ACER3	2.15914	1	2.28024	4.78925	24.4859
ACHE	ACHE	0.0326308	1	1.82727	0.0310438	0.136763
ACIN1	ACIN1	0.0482787	1	0.112814	23.4448	26.6599
ACKR1	ACKR1	0	1	-0.0207234	0	0
ACKR2	ACKR2	0	1	-3.02072	0.0552076	0
ACKR3	ACKR3	3.39612	1	3.78663	0.778165	11.4427
ACKR4	ACKR4	0	1	-0.913808	0.225163	0.121369
ACLY	ACLY	1.66176	1	1.71972	23.1358	80.1466
ACMSD	ACMSD	0	1	1.20167	0.0373519	0.116156
ACN9	ACN9	-0.096166	1	-0.277599	8.47772	7.35266
ACO1	ACO1	0.197681	1	0.29393	14.0973	18.1761
ACO2	ACO2	-0.335832	1	-0.420877	30.6525	24.0755
ACOT1	ACOT1	-0.389188	1	-0.606915	8.53408	5.88749
ACOT11	ACOT11	1.13474	1	1.40488	1.39753	3.90354
ACOT12	ACOT12	0	1	-0.0207234	0	0
ACOT13	ACOT13	-0.698201	1	-0.843165	7.78519	4.56108
ACOT2	ACOT2	-0.607139	1	-0.79472	8.70973	5.27538
ACOT4	ACOT4	0.213974	1	0.522132	2.80368	4.24077
ACOT6	ACOT6	0.487525	1	3.56424	0	0.265129
ACOT7	ACOT7	1.29081	1	1.40922	10.5731	29.5474
ACOT8	ACOT8	0.312592	1	0.461372	17.2645	25.005
ACOT9	ACOT9	0.375157	1	0.492698	18.6138	27.548
ACOX1	ACOX1	0.405094	1	0.494701	6.99258	10.3623
ACOX2	ACOX2	0	1	-1.02072	0.0101104	0
ACOX3	ACOX3	-0.687511	1	-0.939542	4.0614	2.22288
ACOXL	ACOXL	4.88651	1	7.63749	0	2.04973
ACP1	ACP1	0.587663	1	0.662188	40.5994	67.5697
ACP2	ACP2	1.17186	1	1.31177	7.95667	20.7869
ACP5	ACP5	0	1	-0.551238	0.490115	0.347611
ACP6	ACP6	0.14877	1	0.359786	5.72003	7.72283
ACPP	ACPP	1.85069	1	2.52524	0.146747	0.919033
ACPT	ACPT	-1.03236	1	-1.60569	2.16638	0.736572
ACR	ACR	0	1	-0.0207234	0	0
ACRBP	ACRBP	-2.34606	1	-5.19065	0.433231	0
ACRC	ACRC	-3.00378	1	-3.9202	1.41774	0.0913748
ACRV1	ACRV1	0	1	-0.108186	0.317889	0.308924
ACSBG1	ACSBG1	0	1	-0.392692	0.164511	0.129928
ACSBG2	ACSBG2	0	1	0.438708	0.125555	0.182209
ACSF2	ACSF2	0.771493	1	0.929996	6.44297	12.9182
ACSF3	ACSF3	0.332831	1	0.494445	3.94517	5.84699
ACSL1	ACSL1	0.204466	1	0.315212	8.06712	10.5562
ACSL3	ACSL3	-0.600573	1	-0.643813	81.6832	54.9737
ACSL4	ACSL4	-0.816842	1	-0.88395	30.6657	17.4723
ACSL5	ACSL5	1.59035	1	2.18091	0.212	1.03415
ACSL6	ACSL6	1.1967	1	2.56424	0.0270079	0.185474
ACSM1	ACSM1	0	1	-1.02072	0.0796756	0.035396
ACSM2A	ACSM2A	0	1	-0.0207234	0	0
ACSM2B	ACSM2B	0	1	-0.0207234	0	0
ACSM3	ACSM3	0.543339	1	0.904089	1.29411	2.55617
ACSM4	ACSM4	0	1	-2.02072	0.0401806	0
ACSM5	ACSM5	0	1	3.1492	0	0.08003
ACSS1	ACSS1	0.954014	1	1.31095	0.679442	1.78182
ACSS2	ACSS2	0	1	0.0485926	15.4414	16.7946
ACSS3	ACSS3	2.12037	1	4.97928	0	0.247336
ACTA1	ACTA1	0	1	0.564239	0.0156467	0.0324384
ACTA2	ACTA2	0	1	0.227204	0.996354	1.22891
ACTB	ACTB	0.872018	1	0.888859	782.764	1524.24
ACTBL2	ACTBL2	0	1	1.03817	0.0919092	0.207866
ACTC1	ACTC1	0	1	3.3012	0	0.0589742
ACTG1	ACTG1	1.62374	1	1.64284	448.866	1474.05
ACTG1P4	ACTG1P4	-1.13464	1	-4.10819	0.188361	0
ACTG2	ACTG2	0	1	-0.0207234	0	0
ACTL10	ACTL10	-0.0912792	1	-0.757689	0.736724	0.453435
ACTL6A	ACTL6A	0.719599	1	0.799156	33.9028	62.0467
ACTL6B	ACTL6B	0	1	-0.0207234	0	0
ACTL7A	ACTL7A	0	1	-0.6728	0.152781	0.0950226
ACTL7B	ACTL7B	0	1	-2.60569	0.08296	0
ACTL8	ACTL8	0	1	0.979277	0	0.0130033
ACTL9	ACTL9	0	1	-0.0207234	0	0
ACTN1	ACTN1	0.615887	1	0.660002	57.6881	95.858
ACTN1-AS1	ACTN1-AS1	0	1	-1.60569	0.194866	0.0403991
ACTN2	ACTN2	0	1	-0.0207234	0.00456848	0.00473563
ACTN3	ACTN3	0	1	0.716242	0.0140168	0.0290592
ACTN4	ACTN4	0.161808	1	0.196532	102.513	123.535
ACTR10	ACTR10	0.462055	1	0.579058	12.9588	20.3625
ACTR1A	ACTR1A	0.443795	1	0.521157	25.677	38.7539
ACTR1B	ACTR1B	0	1	-0.0750315	24.6166	24.5742
ACTR2	ACTR2	0.180778	1	0.240095	34.7654	43.1797
ACTR3	ACTR3	0.455331	1	0.507271	27.9854	41.831
ACTR3B	ACTR3B	0	1	0.243822	3.338	4.15871
ACTR3BP2	ACTR3BP2	0	1	-0.0207234	0	0
ACTR3BP5	ACTR3BP5	0	1	-0.0207234	0	0
ACTR3C	ACTR3C	0	1	0.078432	4.14291	4.60123
ACTR5	ACTR5	0.593274	1	0.736448	8.13636	14.2617
ACTR6	ACTR6	1.54896	1	1.70644	5.12537	17.6111
ACTR8	ACTR8	0.125395	1	0.296992	4.40774	5.69626
ACTRT1	ACTRT1	0	1	-0.0207234	0	0
ACTRT2	ACTRT2	0	1	-0.0207234	0	0
ACTRT3	ACTRT3	1.54975	1	1.99583	0.745919	3.16533
ACVR1	ACVR1	-1.66862	1	-1.9401	5.2136	1.42302
ACVR1B	ACVR1B	-0.0517294	1	-0.194658	5.68204	5.2204
ACVR1C	ACVR1C	0	1	0.738268	0.064297	0.114637
ACVR2A	ACVR2A	-0.622682	1	-0.864886	2.25172	1.29821
ACVR2B	ACVR2B	0	1	0.0842822	1.43892	1.60434
ACVR2B-AS1	ACVR2B-AS1	-0.594222	1	-1.3665	0.556494	0.221128
ACVRL1	ACVRL1	0	1	-0.0207234	0	0
ACY1	ACY1	-0.401514	1	-0.528451	23.3867	17.0461
ACY3	ACY3	1.18931	1	4.1492	0	0.31645
ACYP1	ACYP1	0.982044	1	1.2823	5.71713	14.6747
ACYP2	ACYP2	-0.833603	1	-1.32391	2.90379	1.20797
ADA	ADA	1.95979	1	2.21565	3.00193	14.7216
ADAD1	ADAD1	0	1	-0.0207234	0	0
ADAD2	ADAD2	2.05759	1	3.78663	0.0202647	0.430626
ADAL	ADAL	0	1	0.0669849	4.89384	5.39118
ADAM10	ADAM10	0.164747	1	0.214071	39.6688	48.3886
ADAM11	ADAM11	1.76531	1	2.26543	0.254556	1.30836
ADAM12	ADAM12	2.29352	1	3.41466	0.0261217	0.319513
ADAM15	ADAM15	-0.367234	1	-0.430602	44.4058	34.6448
ADAM17	ADAM17	-0.558212	1	-0.652298	21.1767	14.1666
ADAM18	ADAM18	0	1	-0.0207234	0	0
ADAM19	ADAM19	1.69783	1	1.92785	0.915348	3.67304
ADAM1A	ADAM1A	0.693032	1	1.06381	0.945306	2.0876
ADAM2	ADAM2	0	1	-0.0207234	0	0
ADAM20	ADAM20	-1.04062	1	-2.5353	0.326093	0.0520038
ADAM20P1	ADAM20P1	-1.58038	1	-3.15823	0.330643	0.0318829
ADAM21	ADAM21	0	1	0.171922	0.113921	0.136256
ADAM21P1	ADAM21P1	0	1	1.78663	0.0113933	0.0708612
ADAM22	ADAM22	1.20589	1	1.71079	0.127648	0.445304
ADAM23	ADAM23	2.48145	1	3.91788	0.018751	0.353754
ADAM28	ADAM28	0	1	1.20167	0.0126944	0.0394765
ADAM29	ADAM29	0	1	-0.0207234	0	0
ADAM30	ADAM30	0	1	-0.0207234	0	0
ADAM32	ADAM32	-2.56478	1	-3.79683	1.16425	0.079865
ADAM33	ADAM33	0	1	1.09475	0.0327971	0.0815929
ADAM3A	ADAM3A	0	1	-0.0207234	0	0
ADAM5	ADAM5	0	1	-1.02072	0.013692	0
ADAM6	ADAM6	0	1	-0.0207234	0	0
ADAM7	ADAM7	0	1	-0.0207234	0	0
ADAM8	ADAM8	1.00686	1	1.18364	3.5714	8.54042
ADAM9	ADAM9	-0.228471	1	-0.27601	62.2019	54.0198
ADAMDEC1	ADAMDEC1	0	1	-0.0207234	0	0
ADAMTS1	ADAMTS1	2.25689	1	2.49734	1.08418	6.46211
ADAMTS10	ADAMTS10	0.879729	1	2.88617	0.00534944	0.0776323
ADAMTS12	ADAMTS12	7.17945	1	9.91444	0	4.77729
ADAMTS13	ADAMTS13	-1.90071	1	-2.48785	0.830417	0.151906
ADAMTS14	ADAMTS14	-0.352333	1	-2.19065	0.0753492	0.0137834
ADAMTS15	ADAMTS15	-0.148163	1	-0.363163	2.25388	1.84179
ADAMTS16	ADAMTS16	0	1	-0.828078	0.0281604	0.0145953
ADAMTS17	ADAMTS17	-2.47178	1	-3.12506	0.789104	0.0917356
ADAMTS18	ADAMTS18	0	1	0.979277	0	0.00409252
ADAMTS19	ADAMTS19	0	1	-0.0207234	0	0
ADAMTS2	ADAMTS2	0	1	-0.0207234	0	0
ADAMTS20	ADAMTS20	0	1	-0.0207234	0	0
ADAMTS3	ADAMTS3	0	1	-0.31023	0.0842054	0.0706603
ADAMTS4	ADAMTS4	0	1	2.78663	0	0.0335167
ADAMTS5	ADAMTS5	0	1	-0.605686	0.00483182	0.0025043
ADAMTS6	ADAMTS6	0.358269	1	0.656455	0.645616	1.07211
ADAMTS7	ADAMTS7	-0.751534	1	-1.08356	1.29269	0.639138
ADAMTS7P1	ADAMTS7P1	-0.293283	1	-1.02072	0.138205	0.0704168
ADAMTS8	ADAMTS8	0	1	-0.0207234	0.0127464	0.0132127
ADAMTS9	ADAMTS9	-0.0290755	1	-3.19065	0.0255415	0
ADAMTS9-AS2	ADAMTS9-AS2	0	1	-0.605686	0.020956	0.0108613
ADAMTSL1	ADAMTSL1	1.90926	1	4.78663	0	0.0817128
ADAMTSL2	ADAMTSL2	0	1	-2.34265	0.0225937	0
ADAMTSL3	ADAMTSL3	-4.0169	1	-5.47358	0.693824	0.0131965
ADAMTSL4	ADAMTSL4	0	1	-0.0583939	1.0189	1.02882
ADAMTSL4-AS1	ADAMTSL4-AS1	-0.419945	1	-1.00529	2.0731	1.07448
ADAMTSL5	ADAMTSL5	1.2718	1	1.78258	0.408557	1.49921
ADAP1	ADAP1	0.475344	1	0.618907	7.43288	12.0084
ADAP2	ADAP2	1.76788	1	2.82058	0.0934137	0.748244
ADAR	ADAR	0.0983268	1	0.139692	41.0281	47.5315
ADARB1	ADARB1	0.091663	1	0.31556	1.30366	1.70698
ADARB2	ADARB2	0	1	-3.02072	0.0193941	0
ADARB2-AS1	ADARB2-AS1	0	1	-0.0207234	0	0
ADAT1	ADAT1	0.58632	1	0.712631	7.25034	12.4992
ADAT2	ADAT2	-0.361608	1	-0.557079	2.22451	1.58894
ADAT3	ADAT3	0	1	-0.123817	0.402004	0.386947
ADC	ADC	-1.08352	1	-1.80313	0.909404	0.266168
ADCK1	ADCK1	0	1	0.248093	1.72422	2.1556
ADCK2	ADCK2	0.520671	1	0.648279	11.0207	18.1698
ADCK3	ADCK3	0.241539	1	0.401369	6.0997	8.47464
ADCK4	ADCK4	-0.552448	1	-0.726992	8.97523	5.69846
ADCK5	ADCK5	1.66255	1	1.96004	1.76144	7.24268
ADCY1	ADCY1	3.45896	1	3.73787	0.258165	3.64549
ADCY10	ADCY10	0	1	-2.02072	0.0301447	0.00446395
ADCY10P1	ADCY10P1	-2.6881	1	-3.69315	0.776632	0.05826
ADCY2	ADCY2	0	1	-0.0207234	0	0
ADCY3	ADCY3	0.205283	1	0.291978	14.3224	18.4411
ADCY4	ADCY4	0	1	1.97928	0.012551	0.0715564
ADCY5	ADCY5	0	1	-1.02072	0.0335791	0.0154701
ADCY6	ADCY6	-0.430712	1	-0.561455	5.594	3.98501
ADCY7	ADCY7	0.656637	1	0.769416	5.15795	9.2485
ADCY8	ADCY8	0	1	-0.0207234	0	0
ADCY9	ADCY9	-0.0441227	1	-0.16316	5.04241	4.73522
ADCYAP1	ADCYAP1	0	1	-0.0207234	0	0
ADCYAP1R1	ADCYAP1R1	0	1	-1.02072	0.00355056	0
ADD1	ADD1	-1.19531	1	-1.28958	19.8644	8.54227
ADD2	ADD2	3.10136	1	3.4614	0.333892	3.90899
ADD3	ADD3	0.447827	1	0.551712	8.74679	13.4852
ADD3-AS1	ADD3-AS1	0	1	0.122235	0.857197	0.983088
ADGB	ADGB	0	1	-1.02072	0.00441387	0
ADH1A	ADH1A	0	1	-2.82808	0.0933798	0
ADH1B	ADH1B	0	1	1.97928	0	0.0257986
ADH1C	ADH1C	0	1	0.394314	0.0265585	0.0412954
ADH4	ADH4	0	1	-1.02072	0.0117963	0
ADH5	ADH5	-0.376201	1	-0.444834	49.1556	37.9737
ADH6	ADH6	-1.51042	1	-3.29374	0.217451	0.0161005
ADH7	ADH7	0	1	1.07881	0.0584354	0.141338
ADHFE1	ADHFE1	-1.25924	1	-2.58144	0.714515	0.11493
ADI1	ADI1	0.764336	1	0.869432	21.6456	41.5976
ADIG	ADIG	0	1	-0.0207234	0.0909543	0.0942821
ADIPOQ	ADIPOQ	0	1	1.56424	0	0.0104554
ADIPOQ-AS1	ADIPOQ-AS1	0	1	-0.0207234	0	0
ADIPOR1	ADIPOR1	0.0831977	1	0.152338	42.7782	49.9961
ADIPOR2	ADIPOR2	0	1	0.0335797	26.0886	28.0807
ADIRF	ADIRF	3.36633	1	3.4967	24.144	286.968
ADK	ADK	0.826563	1	0.91754	19.6408	39.0221
ADM	ADM	1.48369	1	1.63135	10.6978	34.8874
ADM2	ADM2	-3.15549	1	-3.72463	2.27276	0.175561
ADM5	ADM5	-1.29158	1	-1.6543	3.6587	1.21454
ADNP	ADNP	-0.0946976	1	-0.157718	21.3103	20.0885
ADNP2	ADNP2	-0.156834	1	-0.242824	14.2704	12.6813
ADO	ADO	-0.0248459	1	-0.139576	11.171	10.6635
ADORA1	ADORA1	0.855478	1	1.56424	0.207937	0.663216
ADORA2A	ADORA2A	0	1	-0.535297	0.307897	0.220959
ADORA2A-AS1	ADORA2A-AS1	-0.528972	1	-3.60569	0.0682782	0
ADORA2B	ADORA2B	0.0464142	1	0.165164	18.5397	21.8626
ADORA3	ADORA3	0	1	-0.0207234	0	0
ADPGK	ADPGK	0.459271	1	0.548911	19.6266	30.1987
ADPGK-AS1	ADPGK-AS1	0	1	0.177216	0.282192	0.336837
ADPRH	ADPRH	2.37178	1	2.7409	0.545265	3.87106
ADPRHL1	ADPRHL1	-1.28282	1	-2.29756	0.664548	0.133328
ADPRHL2	ADPRHL2	0.187416	1	0.324585	14.689	19.3478
ADPRM	ADPRM	-0.705183	1	-0.980646	6.53597	3.47523
ADRA1A	ADRA1A	0	1	-0.0207234	0	0
ADRA1B	ADRA1B	0	1	1.06674	0.0724998	0.171777
ADRA1D	ADRA1D	1.31105	1	2.66733	0.0700523	0.517385
ADRA2A	ADRA2A	0	1	0.979277	0.0120552	0.0312407
ADRA2B	ADRA2B	0.77164	1	1.58809	0.131932	0.431869
ADRA2C	ADRA2C	0	1	0.394314	0.0596143	0.0865136
ADRB1	ADRB1	0	1	-0.357758	0.579137	0.473497
ADRB2	ADRB2	0.284298	1	0.385311	22.0417	30.2785
ADRB3	ADRB3	0	1	-0.0207234	0	0
ADRBK1	ADRBK1	0.321962	1	0.416117	14.9058	20.9177
ADRBK2	ADRBK2	0.207671	1	0.3883	1.54688	2.12995
ADRM1	ADRM1	-0.01281	1	-0.0948346	54.1666	53.3361
ADSL	ADSL	0.16362	1	0.264957	29.7226	37.5604
ADSS	ADSS	0.0643337	1	0.169194	16.0948	19.0322
ADSSL1	ADSSL1	-1.97418	1	-2.52322	2.47155	0.442524
ADTRP	ADTRP	-2.42482	1	-2.91149	4.46042	0.61214
AEBP1	AEBP1	0	1	0.917876	0.0628474	0.130294
AEBP2	AEBP2	0	1	0.129096	4.51462	5.19236
AEN	AEN	-0.128019	1	-0.237981	15.0513	13.4198
